focsp,Site,Cov,fac_sc,lambda_med,lambda_lwr,lambda_upr
TROR,CS,Shade,6,1.149967908789491,2.0108727133748456e-6,1568.1910066679848
TROR,CS,Shade,7,1.1649910915531394,2.0665518215296628e-7,5279.5731418314035
TROR,CS,Shade,7.117647058823529,1.166107259816009,1.5806513931823394e-7,6072.521853207062
TROR,CS,Shade,8,1.161333113022597,2.2841885833082814e-8,17733.63502979409
TROR,CS,Shade,9,1.1624888727176095,2.4527011298344504e-9,58527.58979966793
TROR,CS,Shade,10,1.1537107802598503,2.625486336606063e-10,189607.38657320928
TROR,CS,Shade,17,1.1397631980594896,5.1470571690133414e-17,867330691.6675457
TROR,CS,Sun,0,1.9396651119293717,0.607377518230143,3.8018420040954655
TROR,CS,Sun,1,1.628201835535961,0.13520949592555492,6.026208136320541
TROR,CS,Sun,2,1.3952863364683403,0.014016670276824388,14.852635182023176
TROR,CS,Sun,2.5,1.2961838018150584,0.004448007729243704,23.915141887513812
TROR,CS,Sun,3,1.1923573291032017,0.0014066105926974072,38.824420262699576
TROR,CS,Sun,4,1.0363516438975768,1.3873529614608437e-4,111.11646842919208
TROR,CS,Sun,4.5,0.9584972089355,4.2253050060345345e-5,184.40118205702893
TROR,CS,Sun,5,0.8963486494753514,1.3055070508754542e-5,307.8929655866763
TROR,CS,Sun,6,0.7669763818352867,1.188008469176659e-6,820.7590229193039
TROR,CS,Sun,7,0.6719544258288771,1.097955563413695e-7,2386.834186253404
TROR,CS,Sun,7.117647058823529,0.6611916041638184,8.250176957771549e-8,2690.4527643835218
TROR,CS,Sun,8,0.5867287446933249,9.91221917742435e-9,6459.175029969092
TROR,CS,Sun,9,0.5070538466977552,9.150642793640447e-10,18031.5402551319
TROR,CS,Sun,10,0.4406587928796095,8.447624336873512e-11,48550.191168049736
TROR,CS,Sun,17,0.16043992573580868,5.212008205729254e-18,60330856.176572815
